GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SATELLITE_COUNT,GPS_ACCURACY (m),GPS_QUALITY,GNSS_POSITION_VALIDITY,SYSTEM_TIME (ms),DEVICE_TEMPERATURE (°C),DEVICE_BATTERY_TEMPERATURE (°C),RECORDED_SAMPLE_COUNT,ACCEL_X (m/s^2),ACCEL_Y (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),RPM,THROTTLE (%),BRAKES (kPa),STEERING (deg),COOLANT_TEMPERATURE (°C),FUEL_LEVEL (L),WHEEL_SPEED_FL (m/s),WHEEL_SPEED_FR (m/s),WHEEL_SPEED_RL (m/s),WHEEL_SPEED_RR (m/s),MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL,MATH_TURN_NUMBER,MATH_TURN_NUMBER_BRAKE,MATH_TURN_NUMBER_ENTRY,MATH_TURN_NUMBER_EXIT,MATH_DETECTED_RADIUS,MATH_TURN_CENTER_X,MATH_TURN_CENTER_Y,MATH_TURN_DIRECTION,MATH_HEADING,MATH_ACCEL_2D_SUM,MATH_THROTTLE_DIFFERENTIAL,MATH_ELAPSED_TIME,MATH_DELTA_TIME,MATH_DELTA_TIME_DIFFERENTIAL,MATH_DELTA_DISTANCE,MATH_DELTA_DISTANCE_DIFFERENTIAL,MATH_SAMPLE_COUNT,MATH_SAMPLE_PERIOD,MATH_CALC_ACCEL_X,MATH_CALC_ACCEL_Y,MATH_CALC_ACCEL_2D_SUM,MATH_ACCEL_X_QUALITY,MATH_ACCEL_Y_QUALITY,MATH_FILTER_PITCH,MATH_FILTER_ROLL,MATH_ELAPSED_DISTANCE_NORMALIZED,MATH_RPM_SPEED_RATIO,MATH_RPM_SPEED_RATIO_STD_DEV,MATH_RPM_SPEED_RATIO_STD_DEV_GEAR_CHANGE_TH,MATH_CALC_GEAR_CHANGE,MATH_GEAR_NUMBER,MATH_AVG_TIRE_TEMPERATURE_FL,MATH_AVG_TIRE_TEMPERATURE_FR,MATH_AVG_TIRE_TEMPERATURE_RL,MATH_AVG_TIRE_TEMPERATURE_RR,MATH_LAP_NUMBER,MATH_LAP_ELAPSED_TIME,MATH_SECTOR_NUMBER,MATH_SECTOR_ELAPSED_TIME,MATH_USER_DEFINED_1,MATH_USER_DEFINED_2,MATH_USER_DEFINED_3,MATH_USER_DEFINED_4
1596474228836.0,-86.72537,36.16901,40.542970702624935,7.677000724203599,16.0,1.61,3.0,1.0,1771261432225.0,0.0,18.0,1.0,0.10034164786338806,-1.6039756536483765,-0.0,0.0,0.0,28.344146728515625,0.0021188813752166793,-0.1635599888095991,1612.0,3.0,0.0,69.7,62.22222222222222,69.0,0.0,0.0,0.0,0.0,87.07256128126686,70.05290274666629,40.7956498945392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.061870410821598,3.384869686617999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.08676855558622,1.6071111796614062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.97783612521758,0.0,12.598670167513054,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1596474228936.0,-86.72537,36.169,40.53931310274198,7.717001797097821,16.0,1.77,3.0,1.0,1771261432327.0,0.0,18.0,2.0,0.0258699432015419,-1.6039756536483765,-0.0,0.0,0.0,15.917403221130371,0.002327040432122451,-0.1635599888095991,1592.0,1.0,0.0,19.7,62.22222222222222,69.0,0.0,0.0,0.0,0.0,87.07256128126686,68.94095190927166,40.79199229465625,0.0,-1.111950837394627,0.0,-11.11950837394627,-37.173122182222116,5.892389055705356,1.111950837394627,1.111950837394627,11.11950837394627,3.402506576848448,4.033007041000514,0.04033007041000514,0.0,0.0,0.0,0.0,0.0,-0.4488276355370675,-0.5559754186973134,0.0,231.08676855558622,1.6041842635613863,-3.5147058823529416,100.0,0.0,0.0,0.0,0.0,2.0,100.0,3.8778391477615495,11.363232090385228,12.006693133243335,-3.8519692045600076,-9.759256436736852,0.00020815905690577162,0.0,1.111950837394627,206.29773607137332,2.6022237035182525,12.377864164282398,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0
1596474228996.0,-86.72538,36.169,40.54358030260543,7.622001484170339,16.0,1.77,3.0,1.0,1771261432391.0,0.0,18.0,3.0,-0.04781722649931908,-1.6039756536483765,-0.0,0.0,0.0,5.445427417755127,0.0021195289139030343,-0.1635599888095991,1589.0,1.0,0.0,-17.2,62.22222222222222,69.0,0.0,0.0,0.0,0.0,86.17490601019273,68.94095190927166,40.796259494519695,-0.8976552710741351,-1.111950837394627,-14.96092118456892,0.0,-42.32205033140775,0.7759150897755771,0.8976552710741351,2.009606108468762,14.96092118456892,7.33891970039858,358.1781911707071,5.90241973549511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1.6046882515450855,-3.622171945701358,160.0,0.0,0.0,0.0,0.0,3.0,60.0,6.132647077046544,17.508971715193486,18.55191231908595,-6.084829850547225,-15.90499606154511,0.0000006475386863549586,0.0,2.009606108468762,208.4754251622878,1.8503470343210398,12.508525509737266,0.0,2.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0,160.0,0.0,0.0,0.0,0.0
1596474229076.0,-86.72539,36.169,40.54175150266395,7.538999704954089,16.0,1.8,3.0,1.0,1771261432453.0,0.0,18.0,4.0,-0.08701440691947937,-1.6039756536483765,-0.0,0.0,0.0,-9.215338706970215,0.0012636893762737495,-0.1635599888095991,1585.0,1.0,0.0,-71.2,62.22222222222222,69.0,0.0,0.0,0.0,0.0,85.27725073949927,68.94095190927166,40.79443069457822,-1.7953105417675956,-1.111950837394627,-11.220690883668256,0.0,-40.00438626328694,-1.406710043818142,0.8976552706934605,2.9072613791622226,11.220690883668256,3.681691178714167,-108.60158809847256,-5.834747240864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1.6063341509500086,-3.4920814479638014,240.0,0.0,0.0,0.0,0.0,4.0,80.0,5.662358528508967,16.834157484497215,17.760944859951337,-5.575344121589487,-15.230181830848839,-0.0008551919989429298,0.0,2.9072613791622226,210.2400931198408,1.8089526369736768,12.614405587190447,0.0,2.0,0.0,0.0,0.0,0.0,2.0,240.0,1.0,240.0,0.0,0.0,0.0,0.0
1596474229136.0,-86.7254,36.169,40.54784750246888,7.569000509624755,16.0,1.8,3.0,1.0,1771261432511.0,0.0,18.0,5.0,-0.13091878592967987,-1.6039756536483765,-0.0,0.0,0.0,-21.781709671020508,0.0005301711045331747,-0.1635599888095991,1575.0,1.0,0.0,-103.5,62.22222222222222,69.0,0.0,0.0,0.0,0.0,84.3795954688058,68.94095190927166,40.80052669438315,-2.692965812461051,-1.111950837394627,-14.960921178224256,0.0,-43.706537291790106,-3.3284450871125624,0.8976552706934553,3.804916649855678,14.960921178224256,7.391920668599501,-83.49720540344526,0.41840637825045496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1.6093096737440056,-3.124434389140272,300.0,0.0,0.0,0.0,0.0,5.0,60.0,4.364901121779174,23.585917742721975,23.986410268511552,-4.233982335849494,-21.9819420890736,-0.0015887102706835046,0.0,3.804916649855678,208.0855983557178,1.6173235619957318,12.485135901343067,0.0,2.0,0.0,0.0,0.0,0.0,2.0,300.0,1.0,300.0,0.0,0.0,0.0,0.0
1596474229296.0,-86.72541,36.169,40.545409102546905,7.387001886505673,16.0,1.72,3.0,1.0,1771261432686.0,0.0,18.0,6.0,-0.0831015557050705,-1.6039756536483765,-0.0,0.0,0.0,-33.0914421081543,-0.0012993564856178905,-0.1635599888095991,1588.0,0.0,0.0,-94.2,62.22222222222222,69.0,0.0,0.0,0.0,0.0,83.48194019773169,68.94095190927166,40.798088294461174,-3.590621083535172,-1.111950837394627,-5.610345444213258,0.0,-45.918425619123866,-4.98929004010769,0.8976552710741212,4.702571920929799,5.610345444213258,-1.7766564422924152,-7.242018375683023,0.476594918923514,0.0,0.0,0.0,0.0,0.0,-3.1417934479981113,-2.5050406846259925,0.0,252.14202495826572,1.6061269458101184,-2.5192307692307696,460.0,0.0,0.0,0.0,0.0,6.0,160.0,3.1831814725973318,30.254174692074404,30.421172406500745,-3.1000799168922613,-28.650199038426027,-0.0034182378608345696,0.0,4.702571920929799,214.9721936447458,3.16140575793292,12.898331618684747,0.0,2.0,0.0,0.0,0.0,0.0,2.0,460.0,1.0,460.0,0.0,0.0,0.0,0.0
1596474229376.0,-86.72542,36.169,40.542970702624935,7.364001716630754,16.0,1.72,3.0,1.0,1771261432750.0,0.0,18.0,7.0,-0.04468890652060509,-1.6039756536483765,-0.0,0.0,0.0,-26.668630599975586,-0.0016695144399131304,-0.1635599888095991,1572.0,0.0,0.0,-76.3,62.22222222222222,69.0,0.0,0.0,0.0,0.0,82.88350334996827,68.5703016303759,40.7956498945392,-4.1890579312985885,-1.4826011162903947,-7.480460597042704,-4.633128486197097,-33.80592768826021,-6.3892449028035365,0.7039234972683642,5.406495418198163,8.799043715854554,1.4350419992237997,7.449065848429238,0.18363855280140326,0.0,0.0,0.0,0.0,0.0,79723604344990.27,-128718485302889.25,0.0,238.22741392237288,1.6045980792281735,-1.6764705882352944,540.0,0.0,0.0,0.0,0.0,7.0,80.0,0.056919621664462516,24.00480477552648,24.004872258657603,-0.012230715143857429,-22.400829121878104,-0.00378839581512981,0.0,5.406495418198163,213.47088994422938,3.1111780212145237,12.808253396653763,0.0,2.0,0.0,0.0,0.0,0.0,2.0,540.0,1.0,540.0,0.0,0.0,0.0,0.0
1596474229416.0,-86.72542,36.16899,40.54510430255666,7.39000151993348,16.0,1.77,3.0,1.0,1771261432805.0,0.0,18.0,8.0,-0.03684358298778534,-1.6039756536483765,-0.0,0.0,0.0,-22.61946678161621,-0.001769028476063383,-0.1635599888095991,1559.0,0.0,0.0,-63.2,62.22222222222222,69.0,0.0,0.0,0.0,0.0,82.28506650220486,68.19965135148013,40.79778349447093,-4.787494779061999,-1.8532513951861624,-14.960921194085252,-9.266256972394194,-30.385845306968612,-7.528309675200093,0.7039234972683589,6.110418915466521,17.598087431708972,10.208085911775491,40.5807600191233,0.8282923542673517,0.0,0.0,0.0,0.0,0.0,1301636745.5348122,-2101569696.7925305,0.0,238.2274139142151,1.604398749408673,-0.5961538461538466,580.0,0.0,0.0,0.0,0.0,8.0,40.0,-3.1227602523164926,27.854609800847676,28.029108418765787,-3.0859166693287072,-26.2506341471993,-0.0038879098512800622,0.0,6.110418915466521,210.9607143915761,3.0185497662058896,12.657642863494566,0.0,2.0,0.0,0.0,0.0,0.0,2.0,580.0,1.0,580.0,0.0,0.0,0.0,0.0
1596474229536.0,-86.72543,36.16899,40.55059070238109,7.301000473861615,16.0,1.74,3.0,1.0,1771261432910.0,0.0,18.0,9.0,-0.006276255939155817,-1.6039756536483765,-0.0,0.0,0.0,-14.940018653869629,-0.0017566752370408482,-0.1635599888095991,1505.0,0.0,0.0,-44.0,62.22222222222222,69.0,0.0,0.0,0.0,0.0,81.68662965482213,67.82900107258436,40.80326989429536,-5.3859316264447274,-2.22390167408193,-4.986973728189407,-3.088752324131396,-24.73176003012428,-8.406484357297359,0.7039234969447246,6.814342412411246,5.866029141206038,-1.4349713326555769,6.746710996545185,-0.28195040852148434,0.0,0.0,0.0,0.0,0.0,-5.834759261791432,-0.8308118282335273,0.0,252.14202494875644,1.60398793289892,0.7217194570135744,700.0,0.0,0.0,0.0,0.0,9.0,120.0,-5.07726562878006,30.877171322913213,31.291825372926482,-5.070989372840904,-29.273195669264837,-0.0038755566122575273,0.0,6.814342412411246,206.1361323544719,3.8708106360690566,12.368167941268313,0.0,2.0,0.0,0.0,0.0,0.0,2.0,700.0,1.0,700.0,0.0,0.0,0.0,0.0
1596474229696.0,-86.72544,36.16899,40.55882030211775,7.262000768907525,16.0,1.74,3.0,1.0,1771261433086.0,0.0,18.0,10.0,-0.031361665576696396,-1.6039756536483765,-0.0,0.0,0.0,-11.309733390808105,-0.0019253589452750276,-0.1635599888095991,1301.0,0.0,690.0,-39.2,62.22222222222222,69.0,0.0,0.0,0.0,0.0,80.78897438412872,67.82900107258436,40.81149949403202,-6.28358689713814,-2.22390167408193,-5.6103454418338305,0.0,-8.604389034026942,-24.420011313020943,0.8976552706934129,7.711997683104659,5.6103454418338305,-1.6516553270736942,-1.4796279025854278,-0.05141461811956634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1.6042822231653884,-0.492081447963801,860.0,0.0,0.0,0.0,0.0,10.0,160.0,-3.050752062109434,24.913012928503125,25.09910957225831,-3.0193903965327378,-23.30903727485475,-0.004044240320491707,0.0,7.711997683104659,179.15172986076658,15.81441975354641,10.749103791645995,0.0,2.0,0.0,0.0,0.0,0.0,2.0,860.0,1.0,860.0,0.0,0.0,0.0,0.0
